"questionId","domain","objectiveId","conceptId","type","contentSignatureGroupSize","signatureObjectiveCount","reviewStatus","reviewRationale"
"aplus-core1-001","Mobile Devices","1.3","aplus-core1-1.3-01","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-002","Mobile Devices","1.2","aplus-core1-1.2-02","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-003","Mobile Devices","1.1","aplus-core1-1.1-03","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-004","Mobile Devices","1.2","aplus-core1-1.2-04","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-005","Mobile Devices","1.1","aplus-core1-1.1-05","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-006","Mobile Devices","1.2","aplus-core1-1.2-06","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-007","Mobile Devices","1.3","aplus-core1-1.3-07","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-008","Mobile Devices","1.2","aplus-core1-1.2-08","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-009","Mobile Devices","1.1","aplus-core1-1.1-09","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-010","Mobile Devices","1.2","aplus-core1-1.2-10","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-011","Mobile Devices","1.3","aplus-core1-1.3-11","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-012","Mobile Devices","1.3","aplus-core1-1.3-01","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-013","Mobile Devices","1.2","aplus-core1-1.2-02","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-014","Mobile Devices","1.1","aplus-core1-1.1-03","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core1-015","Mobile Devices","1.2","aplus-core1-1.2-04","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
